Branden Lee, Stephen Lee, and Alex Morfin
CIS 22C
Fall 2017
Lab 4
Insertion Sort
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      e
5      g
6      w
7      d
8      q
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      w
8      q
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------

Quick Sort
0      a
1      a
2      d
3      b
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------

Merge Sort
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      e
3      d
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      w
6      a
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      a
6      w
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      a
6      w
7      d
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      a
6      d
7      w
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      a
6      d
7      w
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      a
6      d
7      w
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      a
6      d
7      w
8      q
9      w
-----------------------------
0      a
1      b
2      d
3      e
4      g
5      a
6      d
7      q
8      w
9      w
-----------------------------
0      a
1      a
2      b
3      d
4      d
5      e
6      g
7      q
8      w
9      w
-----------------------------

